job starting
[worker: 4] [integral: 0] min_calculation: 700000 / max_calculation: 875000, total_calculations: 179200000
[worker: 647] [integral: 0] min_calculation: 113225000 / max_calculation: 113400000, total_calculations: 179200000
[worker: 979] [integral: 0] min_calculation: 171325000 / max_calculation: 171500000, total_calculations: 179200000
[worker: 579] [integral: 0] min_calculation: 101325000 / max_calculation: 101500000, total_calculations: 179200000
[worker: 851] [integral: 0] min_calculation: 148925000 / max_calculation: 149100000, total_calculations: 179200000
[worker: 955] [integral: 0] min_calculation: 167125000 / max_calculation: 167300000, total_calculations: 179200000
[worker: 559] [integral: 0] min_calculation: 97825000 / max_calculation: 98000000, total_calculations: 179200000
[worker: 759] [integral: 0] min_calculation: 132825000 / max_calculation: 133000000, total_calculations: 179200000
[worker: 138] [integral: 0] min_calculation: 24150000 / max_calculation: 24325000, total_calculations: 179200000
[worker: 827] [integral: 0] min_calculation: 144725000 / max_calculation: 144900000, total_calculations: 179200000
[worker: 903] [integral: 0] min_calculation: 158025000 / max_calculation: 158200000, total_calculations: 179200000
[worker: 324] [integral: 0] min_calculation: 56700000 / max_calculation: 56875000, total_calculations: 179200000
[worker: 699] [integral: 0] min_calculation: 122325000 / max_calculation: 122500000, total_calculations: 179200000
[worker: 571] [integral: 0] min_calculation: 99925000 / max_calculation: 100100000, total_calculations: 179200000
[worker: 887] [integral: 0] min_calculation: 155225000 / max_calculation: 155400000, total_calculations: 179200000
[worker: 1015] [integral: 0] min_calculation: 177625000 / max_calculation: 177800000, total_calculations: 179200000
[worker: 20] [integral: 0] min_calculation: 3500000 / max_calculation: 3675000, total_calculations: 179200000
[worker: 671] [integral: 0] min_calculation: 117425000 / max_calculation: 117600000, total_calculations: 179200000
[worker: 963] [integral: 0] min_calculation: 168525000 / max_calculation: 168700000, total_calculations: 179200000
[worker: 531] [integral: 0] min_calculation: 92925000 / max_calculation: 93100000, total_calculations: 179200000
[worker: 835] [integral: 0] min_calculation: 146125000 / max_calculation: 146300000, total_calculations: 179200000
[worker: 939] [integral: 0] min_calculation: 164325000 / max_calculation: 164500000, total_calculations: 179200000
[worker: 631] [integral: 0] min_calculation: 110425000 / max_calculation: 110600000, total_calculations: 179200000
[worker: 687] [integral: 0] min_calculation: 120225000 / max_calculation: 120400000, total_calculations: 179200000
[worker: 210] [integral: 0] min_calculation: 36750000 / max_calculation: 36925000, total_calculations: 179200000
[worker: 867] [integral: 0] min_calculation: 151725000 / max_calculation: 151900000, total_calculations: 179200000
[worker: 927] [integral: 0] min_calculation: 162225000 / max_calculation: 162400000, total_calculations: 179200000
[worker: 284] [integral: 0] min_calculation: 49700000 / max_calculation: 49875000, total_calculations: 179200000
[worker: 739] [integral: 0] min_calculation: 129325000 / max_calculation: 129500000, total_calculations: 179200000
[worker: 611] [integral: 0] min_calculation: 106925000 / max_calculation: 107100000, total_calculations: 179200000
[worker: 815] [integral: 0] min_calculation: 142625000 / max_calculation: 142800000, total_calculations: 179200000
[worker: 943] [integral: 0] min_calculation: 165025000 / max_calculation: 165200000, total_calculations: 179200000
[worker: 76] [integral: 0] min_calculation: 13300000 / max_calculation: 13475000, total_calculations: 179200000
[worker: 711] [integral: 0] min_calculation: 124425000 / max_calculation: 124600000, total_calculations: 179200000
[worker: 899] [integral: 0] min_calculation: 157325000 / max_calculation: 157500000, total_calculations: 179200000
[worker: 603] [integral: 0] min_calculation: 105525000 / max_calculation: 105700000, total_calculations: 179200000
[worker: 771] [integral: 0] min_calculation: 134925000 / max_calculation: 135100000, total_calculations: 179200000
[worker: 1011] [integral: 0] min_calculation: 176925000 / max_calculation: 177100000, total_calculations: 179200000
[worker: 623] [integral: 0] min_calculation: 109025000 / max_calculation: 109200000, total_calculations: 179200000
[worker: 703] [integral: 0] min_calculation: 123025000 / max_calculation: 123200000, total_calculations: 179200000
[worker: 202] [integral: 0] min_calculation: 35350000 / max_calculation: 35525000, total_calculations: 179200000
[worker: 883] [integral: 0] min_calculation: 154525000 / max_calculation: 154700000, total_calculations: 179200000
[worker: 975] [integral: 0] min_calculation: 170625000 / max_calculation: 170800000, total_calculations: 179200000
[worker: 332] [integral: 0] min_calculation: 58100000 / max_calculation: 58275000, total_calculations: 179200000
[worker: 755] [integral: 0] min_calculation: 132125000 / max_calculation: 132300000, total_calculations: 179200000
[worker: 627] [integral: 0] min_calculation: 109725000 / max_calculation: 109900000, total_calculations: 179200000
[worker: 831] [integral: 0] min_calculation: 145425000 / max_calculation: 145600000, total_calculations: 179200000
[worker: 959] [integral: 0] min_calculation: 167825000 / max_calculation: 168000000, total_calculations: 179200000
