job starting
[worker: 722] [integral: 0] min_calculation: 987109 / max_calculation: 988476, total_calculations: 1400000
[worker: 167] [integral: 0] min_calculation: 228320 / max_calculation: 229687, total_calculations: 1400000
[worker: 919] [integral: 0] min_calculation: 1256445 / max_calculation: 1257812, total_calculations: 1400000
[worker: 306] [integral: 0] min_calculation: 418359 / max_calculation: 419726, total_calculations: 1400000
[worker: 610] [integral: 0] min_calculation: 833984 / max_calculation: 835351, total_calculations: 1400000
[worker: 847] [integral: 0] min_calculation: 1158007 / max_calculation: 1159375, total_calculations: 1400000
[worker: 690] [integral: 0] min_calculation: 943359 / max_calculation: 944726, total_calculations: 1400000
[worker: 807] [integral: 0] min_calculation: 1103320 / max_calculation: 1104687, total_calculations: 1400000
[worker: 438] [integral: 0] min_calculation: 598828 / max_calculation: 600195, total_calculations: 1400000
[worker: 151] [integral: 0] min_calculation: 206445 / max_calculation: 207812, total_calculations: 1400000
[worker: 594] [integral: 0] min_calculation: 812109 / max_calculation: 813476, total_calculations: 1400000
[worker: 466] [integral: 0] min_calculation: 637109 / max_calculation: 638476, total_calculations: 1400000
[worker: 322] [integral: 0] min_calculation: 440234 / max_calculation: 441601, total_calculations: 1400000
[worker: 23] [integral: 0] min_calculation: 31445 / max_calculation: 32812, total_calculations: 1400000
[worker: 63] [integral: 0] min_calculation: 86132 / max_calculation: 87500, total_calculations: 1400000
[worker: 434] [integral: 0] min_calculation: 593359 / max_calculation: 594726, total_calculations: 1400000
[worker: 642] [integral: 0] min_calculation: 877734 / max_calculation: 879101, total_calculations: 1400000
[worker: 191] [integral: 0] min_calculation: 261132 / max_calculation: 262500, total_calculations: 1400000
[worker: 975] [integral: 0] min_calculation: 1333007 / max_calculation: 1334375, total_calculations: 1400000
[worker: 354] [integral: 0] min_calculation: 483984 / max_calculation: 485351, total_calculations: 1400000
[worker: 562] [integral: 0] min_calculation: 768359 / max_calculation: 769726, total_calculations: 1400000
[worker: 855] [integral: 0] min_calculation: 1168945 / max_calculation: 1170312, total_calculations: 1400000
[worker: 738] [integral: 0] min_calculation: 1008984 / max_calculation: 1010351, total_calculations: 1400000
[worker: 831] [integral: 0] min_calculation: 1136132 / max_calculation: 1137500, total_calculations: 1400000
[worker: 422] [integral: 0] min_calculation: 576953 / max_calculation: 578320, total_calculations: 1400000
[worker: 207] [integral: 0] min_calculation: 283007 / max_calculation: 284375, total_calculations: 1400000
[worker: 578] [integral: 0] min_calculation: 790234 / max_calculation: 791601, total_calculations: 1400000
[worker: 386] [integral: 0] min_calculation: 527734 / max_calculation: 529101, total_calculations: 1400000
[worker: 274] [integral: 0] min_calculation: 374609 / max_calculation: 375976, total_calculations: 1400000
[worker: 31] [integral: 0] min_calculation: 42382 / max_calculation: 43750, total_calculations: 1400000
[worker: 548] [integral: 0] min_calculation: 749218 / max_calculation: 750585, total_calculations: 1400000
[worker: 498] [integral: 0] min_calculation: 680859 / max_calculation: 682226, total_calculations: 1400000
[worker: 706] [integral: 0] min_calculation: 965234 / max_calculation: 966601, total_calculations: 1400000
[worker: 676] [integral: 0] min_calculation: 924218 / max_calculation: 925585, total_calculations: 1400000
[worker: 927] [integral: 0] min_calculation: 1267382 / max_calculation: 1268750, total_calculations: 1400000
[worker: 370] [integral: 0] min_calculation: 505859 / max_calculation: 507226, total_calculations: 1400000
[worker: 626] [integral: 0] min_calculation: 855859 / max_calculation: 857226, total_calculations: 1400000
[worker: 783] [integral: 0] min_calculation: 1070507 / max_calculation: 1071875, total_calculations: 1400000
[worker: 682] [integral: 0] min_calculation: 932421 / max_calculation: 933789, total_calculations: 1400000
[worker: 292] [integral: 0] min_calculation: 399218 / max_calculation: 400585, total_calculations: 1400000
[worker: 502] [integral: 0] min_calculation: 686328 / max_calculation: 687695, total_calculations: 1400000
[worker: 159] [integral: 0] min_calculation: 217382 / max_calculation: 218750, total_calculations: 1400000
[worker: 538] [integral: 0] min_calculation: 735546 / max_calculation: 736914, total_calculations: 1400000
[worker: 450] [integral: 0] min_calculation: 615234 / max_calculation: 616601, total_calculations: 1400000
[worker: 282] [integral: 0] min_calculation: 385546 / max_calculation: 386914, total_calculations: 1400000
[worker: 79] [integral: 0] min_calculation: 108007 / max_calculation: 109375, total_calculations: 1400000
[worker: 111] [integral: 0] min_calculation: 151757 / max_calculation: 153125, total_calculations: 1400000
[worker: 426] [integral: 0] min_calculation: 582421 / max_calculation: 583789, total_calculations: 1400000
[worker: 666] [integral: 0] min_calculation: 910546 / max_calculation: 911914, total_calculations: 1400000
[worker: 231] [integral: 0] min_calculation: 315820 / max_calculation: 317187, total_calculations: 1400000
[worker: 967] [integral: 0] min_calculation: 1322070 / max_calculation: 1323437, total_calculations: 1400000
[worker: 298] [integral: 0] min_calculation: 407421 / max_calculation: 408789, total_calculations: 1400000
[worker: 618] [integral: 0] min_calculation: 844921 / max_calculation: 846289, total_calculations: 1400000
[worker: 799] [integral: 0] min_calculation: 1092382 / max_calculation: 1093750, total_calculations: 1400000
[worker: 754] [integral: 0] min_calculation: 1030859 / max_calculation: 1032226, total_calculations: 1400000
[worker: 879] [integral: 0] min_calculation: 1201757 / max_calculation: 1203125, total_calculations: 1400000
[worker: 446] [integral: 0] min_calculation: 609765 / max_calculation: 611132, total_calculations: 1400000
[worker: 199] [integral: 0] min_calculation: 272070 / max_calculation: 273437, total_calculations: 1400000
[worker: 514] [integral: 0] min_calculation: 702734 / max_calculation: 704101, total_calculations: 1400000
[worker: 410] [integral: 0] min_calculation: 560546 / max_calculation: 561914, total_calculations: 1400000
[worker: 346] [integral: 0] min_calculation: 473046 / max_calculation: 474414, total_calculations: 1400000
[worker: 87] [integral: 0] min_calculation: 118945 / max_calculation: 120312, total_calculations: 1400000
[worker: 556] [integral: 0] min_calculation: 760156 / max_calculation: 761523, total_calculations: 1400000
[worker: 490] [integral: 0] min_calculation: 669921 / max_calculation: 671289, total_calculations: 1400000
[worker: 730] [integral: 0] min_calculation: 998046 / max_calculation: 999414, total_calculations: 1400000
